,titles,publishers,authors,years
324,An introduction to population,"11th ed Belmont, CA : Wadsworth Cengage Learning c2012",John R. Weeks,2012
325,儒家思想的實踐,初版 臺北市 : 臺灣商務印書館 民國69 [1980,尼微遜等著 ; 孫隆基譯 ; 中山學術文化基金董事會編譯,1980
326,Society and politics in Hong Kong,Hong Kong : Chinese University Press 1982,[by] Lau Siu-kai,1982
327,"Globalization, changing demographics, and educational challenges in East Asia","Bingley, UK : Emerald 2010","edited by Emily Hannum, Hyunjoon Park, Yuko Goto Butler",2010
328,過渡期的香港 : 政治、經濟、社會,初版 香港 : 廣角鏡出版社有限公司 : 發行華風書局 1988,基督徒香港守望社著,1988
329,Welfare theory : an introduction,New York : Palgrave 2001,Tony Fitzpatrick,2001
330,香港人的性格發展: 個案選集,初版 香港 : 廣角鏡出版社 : 發行華風書局 1989,侯傑泰 ... [et al.]合編,1989
331,Challenges and policy programmes of China's new leadership,Hong Kong : City University of Hong Kong Press 2007,edited by Joseph Y.S. Cheng,2007
332,Otaku : Japan's database animals,"[English ed.] Minneapolis, MN : University of Minnesota Press c2009",Hiroki Azuma ; translated by Jonathan E. Abel and Shion Kono,2009
333,The Geography of contemporary China : the impact of Deng Xiaoping's decade,London ; New York : Routledge 1990,edited by Terry Cannon and Alan Jenkins,1990
334,International Handbook of Autism and Pervasive Developmental Disorders [electronic resource],"1 New York, NY : Springer Science+Business Media, LLC 2011","edited by Johnny L. Matson, Peter Sturmey",2011
335,Japanese apology across disciplines,"Commack, N.Y. : Nova Science Publishers c1999",[edited by] Naomi Sugimoto,1999
336,那似曾相識的七十年代,初版 香港 : 中華書局香港有限公司 2012,呂大樂著,2012
337,Contemporary urban planning,9th ed Boston : Longman c2011,John M. Levy,2011
338,解读日本人论,第1版 上海市 : 华东师范大学出版社 2007,"编著罗斯・摩尔, 杉本良夫",2007
339,從人類學看香港社會: 華德英敎授論文集: Hong Kong society in anthropological perspective : collected essays of Professor barbara Elsie Ward,初版 香港 : 大學出版印務公司 1985,[馮承聰等編譯],1985
340,Routledge handbook of the climate change movement,"Milton Park, Abingdon, Oxon : Routledge 2014",edited by Matthias Dietz and Heiko Garrelts,2014
341,Museum politics : power plays at the exhibition,Minneapolis : University of Minnesota Press c2002,Timothy W. Luke,2002
342,The birth of Chinese feminism : essential texts in transnational theory,New York : Columbia University Press c2013,"Lydia H. Liu, Rebecca E. Karl, and Dorothy Ko, editors",2013
343,Japan's changing generations : are young people creating a new society?,London : RoutledgeCurzon 2004,edited by Gordon Mathews and Bruce White,2004
344,The consumer society reader,"Malden, Mass. : Blackwell 2000",edited by Martyn J. Lee,2000
345,Understanding social citizenship : themes and perspectives for policy and practice,"2nd ed Bristol ; Portland, OR : Policy Press 2010",Peter Dwyer,2010
346,Culture & power : the sociology of Pierre Bourdieu,Chicago : University of Chicago Press 1997,David Swartz,1997
347,文化与权力 : 布尔迪厄的社会学,第1版 上海 : 上海译文出版社 2012,戴维・斯沃茨著 ; 陶东风译,2012
348,家庭如何塑造人,初版 台北 : 張老師文化事業股份有限公司 民國83[1994,維琴尼亞・薩提爾原著 ; 吳就君譯著,2010
