,title,publisher,author,year,source
0,Human communication : the basic course,"Fourteenth edition. Place of publication not identified : Pearson, 2018","DeVito, Joseph A. 1938- author.",2018,cityu media.csv
1,Human communication : the basic course,"Thirteenth edition. Boston : Pearson Education, 2015","DeVito, Joseph A. author.",2015,cityu media.csv
2,"Ongoing crisis communication : planning, managing, and responding","Fourth edition. Thousand Oaks, California : SAGE, 2015","Coombs, W. Timothy author.",2015,cityu media.csv
3,"Ongoing crisis communication : planning, managing, and responding","Fourth edition Thousand Oaks, California : SAGE Publishing, Inc. 2015","W. Timothy Coombs, University of Central Florida",2015,cuhk media.csv
4,"Ongoing crisis communication : planning, managing, and responding","3rd ed Thousand Oaks, Calif. : SAGE c2012",W. Timothy Coombs,2012,cuhk media.csv
5,Advertising and promotion : an integrated marketing communications perspective,"9th ed., global ed. New York : McGraw-Hill Irwin, c2012","Belch, George E. (George Edward), 1951- Belch, Michael A",2012,cityu media.csv
6,Advertising and promotion : an integrated marketing communications perspective,"10e, Tenth edition New York, NY : McGraw-Hill 2015",George E. Belch & Michael A. Belch,2015,cuhk media.csv
