,title,publisher,author,year,source
45,Modern social work theory,"3rd ed Chicago, Ill. : Lyceum Books, Inc. c2005",Malcolm Payne,2005,cuhk sociology.csv
46,"Research design : qualitative, quantitative, and mixed methods approaches","4th ed. Thousand Oaks : SAGE Publications, c2014","Creswell, John W.",2014,cityu sociology.csv
47,"Research design : qualitative, quantitative, and mixed methods approaches","3rd ed Thousand Oaks, Calif. : Sage Publications c2009",John W. Creswell,2009,cuhk sociology.csv
48,"Research design : qualitative, quantitative, and mixed methods approaches","Fourth edition, international student edition Los Angeles, Calif. : SAGE 2014",John W. Creswell,2014,cuhk sociology.csv
49,香港四代人,"第1版 香港 : 進一步多媒體有限公司, 2007","Lü, Dale. ; 呂大樂",2007,cityu sociology.csv
50,香港四代人,第1版 香港 : 進一步多媒體有限公司 2007,呂大樂,2007,cuhk sociology.csv
51,Men and masculinities in contemporary Japan : dislocating the salaryman doxa,"London ; New York : RoutledgeCurzon, 2003","Roberson, James E. 1955-; Suzuki, Nobue 1957-",2003,cityu sociology.csv
52,Men and masculinities in contemporary Japan : dislocating the salaryman doxa,London ; New York : Routledge 2003,edited by James E. Roberson and Nobue Suzuki,2003,cuhk sociology.csv
53,The globalization reader,"Fifth edition. Chichester, West Sussex, UK ; Malden, MA : Wiley Blackwell, 2015","Lechner, Frank J. editor.; Boli, John 1948- editor.",2015,cityu sociology.csv
54,The globalization reader,"Fifth Edition Hoboken, NJ : Wiley 2015",edited by Frank J. Lechner and John Boli,2015,cuhk sociology.csv
